Team,League,RS,RA,OBP,SLG,BA,Playoffs,OOBP,OSLG
ARI,NL,813,743,0.323,0.434,0.252,0,0.317,0.415
ATL,NL,855,743,0.336,0.452,0.258,1,0.306,0.378
BAL,AL,729,981,0.31,0.415,0.246,0,0.315,0.403
BOS,AL,901,828,0.34,0.466,0.269,0,0.331,0.428
CHC,NL,814,717,0.331,0.452,0.252,0,0.335,0.424
CHW,AL,708,832,0.314,0.414,0.261,0,0.319,0.405
CIN,NL,701,711,0.315,0.422,0.244,0,0.305,0.39
CLE,AL,769,657,0.323,0.432,0.25,0,0.336,0.43
COL,NL,835,958,0.326,0.456,0.265,0,0.357,0.47
DET,AL,582,915,0.294,0.388,0.24,0,0.314,0.402
HOU,NL,920,640,0.352,0.495,0.274,1,0.337,0.427
KCR,AL,691,869,0.309,0.401,0.247,0,0.339,0.423
LAA,AL,769,868,0.324,0.422,0.247,0,0.31,0.403
LAD,NL,886,613,0.338,0.472,0.257,1,0.31,0.364
MIA,NL,615,808,0.298,0.375,0.241,0,0.327,0.399
MIL,NL,769,766,0.329,0.438,0.246,1,0.326,0.414
MIN,AL,939,754,0.338,0.494,0.27,1,0.333,0.442
NYM,NL,791,737,0.328,0.442,0.257,0,0.315,0.401
NYY,AL,943,739,0.339,0.49,0.267,1,0.311,0.419
OAK,AL,845,680,0.327,0.448,0.249,1,0.306,0.378
PHI,NL,774,794,0.319,0.427,0.246,0,0.306,0.407
PIT,NL,758,911,0.321,0.42,0.265,0,0.314,0.39
SDP,NL,682,789,0.308,0.41,0.238,0,0.319,0.398
SEA,AL,758,893,0.316,0.424,0.237,0,0.308,0.394
SFG,NL,678,773,0.302,0.392,0.239,0,0.313,0.393
STL,NL,764,662,0.322,0.415,0.245,1,0.313,0.387
TBR,AL,769,656,0.325,0.431,0.254,1,0.294,0.352
TEX,AL,810,878,0.319,0.431,0.248,0,0.309,0.408
TOR,AL,726,828,0.305,0.428,0.236,0,0.335,0.438
WSN,NL,873,724,0.342,0.454,0.265,1,0.303,0.373
